region;birth;mort;natinc;miginc;urbpop;loadfac
Алтайский край;13;14,2;-1,2;-2,2;55,80%;449,8
Амурская область;13,7;14;-0,4;-4,5;67,20%;369,2
Архангельская область;12,5;13,4;-0,9;-7,1;76,90%;429,2
Астраханская область;14,7;12,4;2,3;-1,5;66,60%;392,8
Белгородская область;11,5;13,9;-2,5;4,6;66,90%;451
Брянская область;11,2;15,9;-4,7;-2,3;69,60%;459,4
Владимирская область;11,3;16,6;-5,3;-0,8;77,80%;495,6
Волгоградская область;11,5;13,7;-2,2;-2,5;76,50%;452,2
Вологодская область;13,7;14,9;-1,3;-1,2;71,70%;435,8
Воронежская область;10,9;15,5;-4,6;5;66,70%;481
г.Москва;11,5;9,8;1,6;7;98,80%;426
г.Санкт-Петербург;13,1;11,9;1,2;11,6;100,00%;435,4
Еврейская автономная область;13,8;15,1;-1,3;-10,8;68,20%;370,2
Забайкальский край;15,6;12,7;3;-6,7;67,20%;324,8
Ивановская область;11,1;16,3;-5,2;-0,7;81,20%;488
Иркутская область;15,4;13,6;1,8;-3;79,20%;372,4
Кабардино-Балкарская Республика;15,2;8,8;6,3;-5,1;52,80%;308,2
Калининградская область;12,5;13,1;-0,6;8,7;77,60%;406,2
Калужская область;12;15,3;-3,3;4,5;76,00%;467,6
Камчатский край;13,1;11,5;1,6;-4,9;77,50%;307,6
Карачаево-Черкесская Республика;13,1;9,6;3,4;-6,9;42,80%;342,6
Кемеровская область;13;14,6;-1,6;-1,5;85,60%;419,6
Кировская область;12,8;15,2;-2,5;-3,1;75,40%;489
Костромская область;12,5;15,9;-3,4;-0,8;71,00%;473,8
Краснодарский край;13,3;13;0,3;10,3;53,90%;439
Красноярский край;14,3;12,7;1,6;1;76,70%;362,2
Курганская область;13,5;16;-2,5;-7,1;61,30%;503,8
Курская область;11,6;16,3;-4,7;5;66,80%;482,8
Ленинградская область;9;14,3;-5,3;11,9;64,70%;452
Липецкая область;11,5;15,3;-3,8;2,1;64,10%;473,6
Магаданская область;12,1;12;0,1;-12;95,60%;316
Московская область;12,5;13,6;-1,1;14,1;81,50%;407,4
Мурманская область;11,7;11,4;0,3;-8,2;92,60%;336,2
Нижегородская область;11,9;15,8;-3,8;0,8;79,30%;465
Новгородская область;11,9;17,6;-5,7;0,2;70,70%;509,6
Новосибирская область;14;13,3;0,7;6,1;78,30%;405
Омская область;14,5;13,4;1,1;-1,3;72,10%;397,2
Оренбургская область;14,4;13,9;0,4;-3,8;59,80%;408,4
Орловская область;11,1;16,4;-5,3;-1,6;66,20%;489,8
Пензенская область;10,6;14,7;-4,1;-1;68,00%;492,6
Пермский край;14,6;14;0,6;-0,5;75,40%;409,8
Приморский край;12,6;13,5;-0,9;-1,9;76,80%;392,4
Псковская область;11;18,5;-7,5;0;70,40%;509,4
Республика Адыгея;12,5;13,1;-0,6;5,5;47,10%;432,2
Республика Алтай;20,2;10,9;9,3;-1,1;29,10%;302,8
Республика Башкортостан;14,4;13,1;1,3;-1,2;61,50%;381,6
Республика Бурятия;17,3;11,7;5,6;-3;58,90%;322,8
Республика Дагестан;18,6;5,5;13,1;-5,6;45,10%;200,2
Республика Ингушетия;19,8;3,5;16,3;5,6;40,60%;180,6
Республика Калмыкия;13,9;9,9;4;-10,3;45,00%;328,6
Республика Карелия;12,2;14,9;-2,7;-1,2;79,40%;444,4
Республика Коми;13,8;12,2;1,6;-10,6;77,60%;340,6
Республика Марий Эл;14,4;13,6;0,7;-3;64,90%;403,6
Республика Мордовия;9,9;14,4;-4,4;0,3;61,40%;439,4
Республика Саха (Якутия);17,2;8,7;8,5;-7,1;65,20%;250,2
Республика Северная Осетия-Алания;14,9;10,6;4,3;-5,9;64,00%;383,8
Республика Татарстан;14,6;12;2,6;1,7;76,20%;398
Республика Тыва;25;10,6;14,4;-8,5;54,00%;189,4
Республика Хакасия;15,1;13,2;2;0,1;68,30%;383
Ростовская область;11,8;13,9;-2,1;0,7;67,80%;445,6
Рязанская область;11;16;-5;1,2;71,20%;516
Самарская область;12,5;14,1;-1,7;1;80,30%;444,6
Саратовская область;11,4;14,2;-2,8;0,5;75,10%;455,6
Сахалинская область;13,4;13,3;0,1;-3,4;81,20%;371
Свердловская область;14,3;14;0,3;0,7;84,30%;430
Смоленская область;10,5;16,4;-5,8;0,2;72,20%;461,6
Ставропольский край;12,8;11,7;1,1;0,2;58,00%;394,2
Тамбовская область;9,7;16,1;-6,4;-1,6;59,60%;506,2
Тверская область;11,3;17,9;-6,6;-0,3;75,10%;503,6
Томская область;13,6;11,6;1,9;2,1;71,70%;355,8
Тульская область;10,1;17,3;-7,1;1,2;76,30%;522,6
Тюменская область;16,7;8,3;8,4;2,8;79,60%;248,4
Удмуртская Республика;14,6;12,8;1,8;-2;65,70%;398,6
Ульяновская область;11,7;14,6;-2,9;-1,7;74,40%;466
Хабаровский край;13,9;13,3;0,5;-1,9;81,70%;365,8
Челябинская область;14;13,9;0,1;1,2;82,40%;427,8
Чеченская Республика;23,9;5;18,9;-2,3;34,80%;164,4
Чувашская Республика;13,8;13,2;0,6;-2,4;60,50%;399,4
Чукотский автономный округ;13,6;10,5;3,1;-7,7;68,00%;194,2
Ярославская область;12;15,7;-3,7;3,6;81,80%;490,6
